Month,Series ID: ELEC.CONS_TOT.NG-AK-96.M thousand Mcf
01-01-2007,0
01-02-2007,0
01-03-2007,0
01-04-2007,0
01-05-2007,0
01-06-2007,0
01-07-2007,0
01-08-2007,0
01-09-2007,0
01-10-2007,1.565
01-11-2007,7.312
01-12-2007,1.519
01-01-2008,0
01-02-2008,0
01-03-2008,0
01-04-2008,0
01-05-2008,0
01-06-2008,0
01-07-2008,0
01-08-2008,0
01-09-2008,0
01-10-2008,0
01-11-2008,0
01-12-2008,0
01-01-2009,0
01-02-2009,0
01-03-2009,0
01-04-2009,0
01-05-2009,0
01-06-2009,0
01-07-2009,0
01-08-2009,0
01-09-2009,0
01-10-2009,0
01-11-2009,0
01-12-2009,0
01-01-2010,3.243
01-02-2010,3.508
01-03-2010,2.658
01-04-2010,0
01-05-2010,0
01-06-2010,0
01-07-2010,0
01-08-2010,0
01-09-2010,0
01-10-2010,0
01-11-2010,5.447
01-12-2010,0
01-01-2011,3.587
01-02-2011,2.267
01-03-2011,2.72
01-04-2011,26.896
01-05-2011,16.829
01-06-2011,0.249
01-07-2011,0.016
01-08-2011,0
01-09-2011,3.048
01-10-2011,0.097
01-11-2011,4.327
01-12-2011,3.876
01-01-2012,0
01-02-2012,6.06
01-03-2012,10.499
01-04-2012,13.943
01-05-2012,4.475
01-06-2012,0
01-07-2012,0
01-08-2012,3.041
01-09-2012,0
01-10-2012,12.945
01-11-2012,6.521
01-12-2012,0
01-01-2013,12.943
01-02-2013,5.735
01-03-2013,11.726
01-04-2013,15.471
01-05-2013,0.031
01-06-2013,0.027
01-07-2013,0.036
01-08-2013,0.03
01-09-2013,1.496
01-10-2013,0.027
01-11-2013,13.986
01-12-2013,162.614
01-01-2014,12.261
01-02-2014,18.736
01-03-2014,0.302
01-04-2014,0.001
01-05-2014,0.446
01-06-2014,0.31
01-07-2014,5.825
01-08-2014,0.01
01-09-2014,0.001
01-10-2014,0.042
01-11-2014,7.955
01-12-2014,10.283
01-01-2015,0
01-02-2015,0
01-03-2015,0
01-04-2015,0
01-05-2015,0
01-06-2015,0
01-07-2015,0
01-08-2015,0
01-09-2015,0
01-10-2015,0
01-11-2015,0
01-12-2015,0.006
01-01-2016,0
01-02-2016,0
01-03-2016,0
01-04-2016,13.022
01-05-2016,6.611
01-06-2016,0
01-07-2016,0
01-08-2016,0
01-09-2016,0
01-10-2016,0
01-11-2016,11.004
01-12-2016,1.49
01-01-2017,4.567
01-02-2017,12.356
01-03-2017,0
01-04-2017,13.514
01-05-2017,3.606
01-06-2017,0
01-07-2017,0.003
01-08-2017,0.077
01-09-2017,0
01-10-2017,0.161
01-11-2017,0
01-12-2017,0
01-01-2018,0.479
01-02-2018,1.052
01-03-2018,0
01-04-2018,0.264
01-05-2018,0.178
01-06-2018,0
01-07-2018,0.043
01-08-2018,0
01-09-2018,0.518
01-10-2018,0.007
01-11-2018,0.013
01-12-2018,0
01-01-2019,0
01-02-2019,0.004
01-03-2019,0
01-04-2019,0.011
01-05-2019,0.017
01-06-2019,0.003
01-07-2019,0.027
01-08-2019,0.05
01-09-2019,0.011
01-10-2019,0.01
01-11-2019,0.018
01-12-2019,0.013
01-01-2020,0.021
01-02-2020,0.011
01-03-2020,0.026
01-04-2020,0.024
01-05-2020,0.029
01-06-2020,0.022
01-07-2020,0.721
01-08-2020,0.478
01-09-2020,0.013
01-10-2020,0
01-11-2020,0.02
01-12-2020,0.015
01-01-2021,0.014
01-02-2021,0.009
01-03-2021,0.013
01-04-2021,0.177
01-05-2021,1.636
01-06-2021,0
01-07-2021,0
01-08-2021,0
01-09-2021,0
01-10-2021,0
01-11-2021,0.01
01-12-2021,0.043
01-01-2022,1.518
01-02-2022,5.6
01-03-2022,1.006
01-04-2022,0.009
01-05-2022,1.106
01-06-2022,0.001
01-07-2022,0.015
01-08-2022,0.224
01-09-2022,0
