Month,Series ID: ELEC.CONS_TOT.COW-AK-96.M thousand tons
01-01-2001,16.19
01-02-2001,29.5
01-03-2001,29.6
01-04-2001,14.06
01-05-2001,13.97
01-06-2001,11.28
01-07-2001,26.17
01-08-2001,37.65
01-09-2001,34.68
01-10-2001,19.33
01-11-2001,10.17
01-12-2001,10.08
01-01-2002,23.478
01-02-2002,19.802
01-03-2002,21.54
01-04-2002,20.465
01-05-2002,21.565
01-06-2002,16.08
01-07-2002,19.168
01-08-2002,20.06
01-09-2002,24.429
01-10-2002,25.587
01-11-2002,23.342
01-12-2002,25.852
01-01-2003,45.551
01-02-2003,40.353
01-03-2003,41.679
01-04-2003,36.599
01-05-2003,35.918
01-06-2003,34.178
01-07-2003,36.579
01-08-2003,35.021
01-09-2003,37.46
01-10-2003,40.381
01-11-2003,42.371
01-12-2003,47.323
01-01-2004,53.535
01-02-2004,46.691
01-03-2004,47.11
01-04-2004,35.144
01-05-2004,30.594
01-06-2004,30.926
01-07-2004,30.002
01-08-2004,30.265
01-09-2004,32.471
01-10-2004,40.133
01-11-2004,47.857
01-12-2004,43.56
01-01-2005,50.674
01-02-2005,45.045
01-03-2005,44.71
01-04-2005,37.577
01-05-2005,32.223
01-06-2005,29.731
01-07-2005,31.76
01-08-2005,32.783
01-09-2005,30.523
01-10-2005,37.07
01-11-2005,46.77
01-12-2005,47.748
01-01-2006,52.579
01-02-2006,41.836
01-03-2006,47.592
01-04-2006,34.736
01-05-2006,30.64
01-06-2006,28.71
01-07-2006,28.871
01-08-2006,28.675
01-09-2006,29.406
01-10-2006,35.838
01-11-2006,50.372
01-12-2006,48.683
01-01-2007,49.828
01-02-2007,45.305
01-03-2007,50.608
01-04-2007,36.377
01-05-2007,29.54
01-06-2007,22.345
01-07-2007,29.12
01-08-2007,28.754
01-09-2007,33.625
01-10-2007,44.177
01-11-2007,45.357
01-12-2007,51.897
01-01-2008,60.335
01-02-2008,48.975
01-03-2008,46.468
01-04-2008,39.831
01-05-2008,35.595
01-06-2008,35.581
01-07-2008,31.528
